tipo,nombre
CARRER,OCA DE MEI (DE LA)
CARRES,ANT ROC (DE)
CARREF,ONT (DE LA)
MASIAM,AS DE BELLES
MASIAM,AS DE LA VILA
CARREP,URISSIMA (DE LA)
CARRET,ALECA (DE LA)
CARRER,AVALET (DEL)
CARREP,ALO (DEL)
MASIAM,AS DEL PARDO
CARRES,ANT BARTOMEU (DE)
CRO  A,RNAUS (DELS)
AVGDAS,ANT ISIDRE (DE)
CARRES,ANT SEBASTIA (DE)
CARREX,ODOS (DE)
MASIAM,AS DELS CANALISOS
CARREP,ENYAGOLOSA
PLAÇAM,AJOR
CARREM,AESTRAT (DEL)
CARREM,OSSEN PERE (DE)
CARREV,ENERABLE JOAN BAPTISTA BERTRAN
CARREL,LUCENA
CARREM,ARE DE DEU DE LORETO (DE LA)
CARREB,OTELLA (DE LA)
TRSSIS,ANT CRISTOFOL (DE)
MASIAM,AS DE LA CASA LLUNA
MASIAM,AS DE LA CASA NOVA
MASIAM,AS DEL PINARET
MASIAM,AS DE LA BODEGA
MASIAM,AS BLANCH
CARREV,ALENCIA
CARRES,ANT GREGORI (DE)
CARREM,ARE DE DEU DEL ROSER (DE LA)
MASIAM,AS DE LES FOIES
MASIAM,AS DE LA RODRIGA
MASIAM,AS DEL MANGRANAR
MASIAM,AS DEL FORCALL DEL RIU
MASIAM,AS DE BARROT
MASIAM,AS DE MEANES
MASIAM,AS DE MIQUERO
CARREB,ARRANC DE LA FONT (DEL)
AVGDAC,ASTELLO (DE)
CARREE,SQUADRES (DE LES)
MASIAM,AS CASETA GARCIA
MASIAM,AS DE LA FONTANELLA
MASIAM,AS DE CARALLET
MASIAM,AS DEL PONT
MASIAM,AS DE GIL
MASIAM,AS D'ALBERT
MASIAM,AS DE L'ATALAIA
MASIAM,AS DE RETORET
MASIAM,AS DE LA MADONYA
CARRES,ANT ANTONI (DE)
MASIAM,AS DEL CASTELLA
MASIAM,AS DE LA FOYA COSCOLLAR
MASIAM,AS DE TAFOI
MASIAM,AS DEL POU NOU
MASIAM,AS DE CANSALAO
MASIAM,AS DE L'ALGEPSAR
MASIAM,AS DE VIDAL
MASIAM,AS DE LA CABRERA
MASIAM,AS DE LES FORQUES
MASIAM,AS DE LES SORTS
MASIAM,AS DE BUSTALET
MASIAM,AS DEL CORRAL DE ROCA
MASIAM,AS DEL ZURDO
MASIAM,AS DE BARRANCO LARGO
PTDA C,ASTELL (EL)
MASIAM,AS DE LES CARRASQUETES
MASIAM,AS DE LA LLASTRA
MASIAM,AS DE L'IBARSERO
MASIAM,AS DEL PILAR
MASIAM,AS DE L'ULLASTRARET
MASIAM,AS DE LLASTRES
MASIAM,AS DEL RIU DE SAFONT
PLCETD,IVINA PASTORA (DE LA)
MASIAM,AS DEL REGALL
MASIAM,AS DEL PINAR
MASIAM,AS DE LA LLOMA
MASIAM,AS DEL JUNCAR
CAMI A,IGUA NOVA (DE L')
CAMI C,ANAR (DEL)
CTRA C,ASTELLO (DE)
CTRA X,ODOS (DE)
CAMI N,UMERO 4
PTDA S,ENIES (DE LES)
CARREA,BUGOTS (DELS)
CTRA A,LBOCASSER (D')
CARREA,RAGO (D')
CARREQ,UADRONS (DELS)
CARREC,ALLEJON
CARRET,ORRE D'EN BESORA (DE LA)
CARREJ,OSEP VICENT COMES (EL CEGUET)
CARREP,EIRO (DEL)
TRSSIS,ANT GREGORI (A)
CARRER,AMADERS (DELS)
TRSSIM,ARE DE DEU DE LORETO (DE LA)
CARREP,ORREJAT (DEL)
CARREB,OVALAR (DEL)
CARREO,RDE DE MONTESA (DE L')
CTRA V,ISTABELLA (DE)
CARREA,TZENETA D'ALBAIDA (D')
CARREL,LAURADORS (DELS)
CARREB,ENAFIGOS (DE)
CARREF,ONT DEL ROURE (DE LA)
MASIAM,AS DE SIDRO
MASIAM,AS DEL POU DE LA RIBA
MASIAM,AS DE LA SELLETA
MASIAM,AS DE GUIRRO
MASIAM,AS PROPET
PTDA G,ORCES (DE LES)
MASIAM,AS DEL NOI
MASIAM,AS DEL COLL DE LA BASA
CARREJ,AUME I
PLAÇAM,ARE DE DEU DE LORETO (DE LA)
CARREF,ONT DE LA TORRE
CARREC,ALVARI (DEL)
CARREC,ARRIL (DEL)
CARREV,ALL DE VERDUNC (DEL)
CARREM,OSSEN RICARDO (DE)
CARREA,IGUA NOVA (DE L')
MASIAM,AS DE LES PLANETES
MASIAM,AS DE LA ANDREVA
MASIAM,AS DE PALETA
MASIAM,AS DE LA FOYA VIDAL
MASIAM,AS DE LA UMBRIA
MASIAM,AS DE LA TENYADETA
TRSSIE,SQUADRES (DE LES)
CARRES,ETENA DE CULLA (DE LA)
CARRES,OL DE LA VILA (DEL)
MASIAM,AS DE LA VINYETA
CAMI F,ONT DE LA TORRE
PTDA Q,UADRONS (DELS)
MASIAM,AS DEL CARRASCALET
TRSSIC,ARRIL (DEL)
CARREF,ONT DEL CANAR (DE LA)
CARREM,ITJANS (DELS)
CARREM,ITJA DE XIMENO (DEL)
CARREE,SPANEGUERA (D')
CARRER,OCA DEL SOL (DE LA)
CARRES,ERRA DE LA CREU (DE LA)
CARREL,ES USERES (DE)
CARREH,ORTS DE LA PORTERA (DELS)
AVGDAM,EANES (DE)
MASIAM,AS DE SERRETA
MASIAM,AS DE MANXORA
MASIAM,AS DEL CURRO
MASIAM,AS DEL CORRAL DEL CERER
MASIAM,AS DE FANDOS
MASIAM,AS SERRA DE LA CREU
MASIAM,AS DELS PLANS
MASIAM,AS DE LA TORRENTINA
MASIAM,AS DE LA JOVERA
CARREV,ICTIMES DEL TERRORISME (DE LES)
MASIAM,AS DE CORONES
MASIAM,AS DE GATA
MASIAM,AS DEL XOCOLATER
MASIAM,AS DE COSCOLLARES
CARREG,UILLEM D'ANGLESOLA (DE)
CARREE,NRIC BANYULS (D')
MASIAM,AS DEL GAT
PTDA R,IBASSALS (DELS)
MASIAM,AS DE REMISSIO
MASIAM,AS DE LES ROQUES PARDES
MASIAL,A SELLETA
MASIAM,AS DE ROC
PTDA F,REGINALS (DELS)
PTDA L,LOMES (DE LES)
MASIAM,ECA
PLAÇAC,REU (LA)
CARREE,NMIG
CARREC,ALVARI
PLAZAG,IMENO BARON
CARREA,IGUA
CARREB,AIX
CARREE,STRET
CARREN,OU
CARRES,ARAGOSSA
CARREM,AJOR
CARREM,ORERA
PLAZAJ,OSE SORRIBES
CARREC,ARRERO
PLAZAN,OVA
CARRER,IU
CARRES,ECA
CARRES,EQUIETA
